G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635344600000.0
1.6784668,0.015258789,1.6174316,0.052001953,0.041748047,0.010498047,0.0,0.0,0.0,0.0,0.0,0.0,1635344600000.0
1.7089844,1.8539429,0.0,0.03125,0.00024414062,0.022705078,0.0,0.0,0.0,0.0,0.0,0.0,1635344600000.0
0.45776367,1.876831,0.1373291,0.037841797,0.011230469,0.008056641,0.0,0.0,0.0,0.0,0.0,0.0,1635344600000.0
0.06866455,0.022888184,0.24414062,0.03881836,0.021240234,0.0073242188,0.0,0.0,0.0,0.0,0.0,0.0,1635344600000.0
1.3580322,1.5411377,0.39672852,0.04711914,0.034423828,0.052246094,0.79345703,1.0147095,1.8157959,0.009765625,0.032958984,0.00024414062,1635344600000.0
0.60272217,1.4419556,0.50354004,0.0075683594,0.03930664,0.03955078,1.3656616,0.1296997,1.3504028,0.024658203,0.049316406,0.011230469,1635344600000.0
0.21362305,0.076293945,0.7019043,0.017089844,0.04321289,0.04663086,0.9613037,1.7623901,1.5335083,0.06201172,0.0007324219,0.0024414062,1635344600000.0
1.2893677,0.64849854,0.35095215,0.018066406,0.008544922,0.005126953,0.0,0.9765625,0.08392334,0.0017089844,0.016113281,0.06225586,1635344600000.0
0.93078613,0.022888184,1.663208,0.055419922,0.047851562,0.0087890625,0.0,0.9765625,0.17547607,0.021484375,0.016845703,0.0031738281,1635344600000.0
1.8844604,1.159668,1.1367798,0.032226562,0.021240234,0.015380859,1.5258789,0.39672852,0.091552734,0.0043945312,0.060546875,0.001953125,1635344600000.0
0.8392334,0.2670288,0.0,0.03125,0.030273438,0.055908203,0.579834,1.8539429,0.0,0.03125,0.035888672,0.042236328,1635344600000.0
1.9454956,0.19073486,1.8310547,0.03881836,0.029785156,0.0009765625,1.5640259,1.5716553,0.0,0.03125,0.059326172,0.03930664,1635344600000.0
1.6479492,1.9226074,1.1520386,0.047607422,0.04296875,0.060302734,0.6942749,1.2130737,1.5716553,0.05493164,0.027832031,0.05444336,1635344600000.0
0.74768066,1.5029907,0.5645752,0.05444336,0.045898438,0.056396484,1.9454956,0.9689331,1.5716553,0.027832031,0.05053711,0.008300781,1635344600000.0
1.2741089,1.8386841,1.4190674,0.018798828,0.053222656,0.05102539,1.045227,0.0076293945,0.77819824,0.016845703,0.05810547,0.0063476562,1635344600000.0
0.8239746,0.045776367,0.22125244,0.013671875,0.048339844,0.05053711,0.6561279,0.05340576,0.21362305,0.00024414062,0.02368164,0.0068359375,1635344600000.0
0.8621216,0.44250488,0.4272461,0.0107421875,0.0073242188,0.060302734,0.0,0.9765625,1.2893677,0.0036621094,0.059326172,0.059814453,1635344600000.0
0.1296997,0.25177002,1.6174316,0.056396484,0.013183594,0.012939453,1.6479492,1.5029907,0.1373291,0.024414062,0.0234375,0.010253906,1635344600000.0
1.3809204,1.2817383,0.7019043,0.032470703,0.04321289,0.021240234,1.3885498,0.38146973,0.9536743,0.057861328,0.0024414062,0.057373047,1635344600000.0
1.2054443,0.015258789,0.7019043,0.03515625,0.057128906,0.061523438,0.47302246,1.8997192,0.0,0.03125,0.04638672,0.038085938,1635344600000.0
1.3122559,1.739502,1.5869141,0.046142578,0.029052734,0.061035156,0.541687,1.449585,0.0,0.03125,0.056152344,0.045898438,1635344600000.0
0.16021729,1.8997192,0.5187988,0.05444336,0.055664062,0.05908203,1.3504028,1.1749268,0.9460449,0.0056152344,0.020996094,0.00048828125,1635344600000.0
1.6860962,1.8310547,0.51116943,0.0036621094,0.017089844,0.05078125,1.3504028,1.1749268,0.9460449,0.0056152344,0.020996094,0.00048828125,1635344600000.0
1.9302368,0.5340576,0.21362305,0.012207031,0.049804688,0.042236328,1.083374,1.876831,1.8081665,0.0034179688,0.010498047,0.0056152344,1635344600000.0
1.7700195,0.19073486,0.91552734,0.009277344,0.043701172,0.055419922,0.8239746,1.121521,1.3198853,0.010498047,0.022460938,0.057617188,1635344600000.0
0.1449585,0.79345703,0.5187988,0.004638672,0.012207031,0.0043945312,0.06866455,1.2588501,1.0528564,0.016601562,0.029052734,0.0063476562,1635344600000.0
1.3961792,0.49591064,0.6637573,0.05029297,0.025146484,0.025390625,0.6942749,1.8539429,1.4266968,0.011474609,0.052246094,0.008300781,1635344600000.0
1.2664795,1.0757446,1.8920898,0.033203125,0.034423828,0.017089844,1.2207031,0.24414062,1.121521,0.042236328,0.028808594,0.04321289,1635344600000.0
1.6479492,1.8081665,1.5335083,0.041503906,0.043701172,0.00390625,1.625061,1.6403198,0.0,0.03125,0.052490234,0.033691406,1635344600000.0
1.083374,1.6555786,1.3961792,0.045654297,0.021972656,0.061523438,1.5869141,1.6479492,1.5563965,0.034423828,0.01586914,0.04711914,1635344600000.0
0.6942749,1.8539429,1.2741089,0.05859375,0.05444336,0.05493164,0.0,0.9765625,1.9454956,0.03100586,0.023925781,0.03125,1635344600000.0
1.0223389,1.7166138,0.022888184,0.05834961,0.01586914,0.044677734,0.5569458,1.3961792,1.8920898,0.013671875,0.018798828,0.05102539,1635344600000.0
1.8539429,0.48065186,0.23651123,0.052734375,0.038330078,0.044677734,1.1749268,0.091552734,0.7324219,0.059326172,0.041259766,0.0063476562,1635344600000.0
1.0528564,0.6866455,0.32806396,0.061767578,0.0029296875,0.056396484,1.449585,1.0757446,0.8773804,0.06201172,0.017822266,0.061279297,1635344600000.0
1.0299683,1.5640259,0.2670288,0.055908203,0.05102539,0.008056641,0.0,0.9765625,0.64086914,0.020019531,0.0029296875,0.0036621094,1635344600000.0
1.8234253,0.33569336,1.7242432,0.050048828,0.06225586,0.03100586,0.09918213,0.5187988,0.5950928,0.008056641,0.051757812,0.0017089844,1635344600000.0
0.0,0.9765625,0.0,0.03125,0.028564453,0.013427734,1.5487671,0.15258789,1.5106201,0.03515625,0.053955078,0.040039062,1635344600000.0
1.1062622,1.8310547,0.869751,0.04711914,0.0390625,0.010498047,1.4877319,1.6403198,0.0,0.03125,0.06225586,0.04638672,1635344600000.0
1.1367798,0.2822876,1.6784668,0.055419922,0.04345703,0.059814453,0.0,0.9765625,0.17547607,0.04711914,0.04296875,0.056640625,1635344600000.0
0.5493164,0.022888184,1.5106201,0.005126953,0.052978516,0.048583984,1.9454956,0.9689331,1.6937256,0.0063476562,0.030761719,0.025146484,1635344600000.0
0.4348755,0.045776367,0.9460449,0.0031738281,0.060546875,0.037353516,1.5716553,1.7166138,0.7095337,0.020507812,0.048828125,0.0,1635344600000.0
1.4266968,1.914978,1.3580322,0.052734375,0.033691406,0.046875,1.5258789,0.16784668,0.61798096,0.056640625,0.022216797,0.008544922,1635344600000.0
0.19836426,0.1296997,1.1825562,0.012451172,0.060546875,0.052978516,0.7019043,0.9765625,1.6021729,0.00390625,0.018798828,0.0041503906,1635344600000.0
1.5563965,1.8692017,0.64086914,0.06201172,0.01928711,0.0041503906,0.9765625,1.6098022,0.9841919,0.018798828,0.014404297,0.0073242188,1635344600000.0
0.045776367,1.8844604,1.5029907,0.03540039,0.06225586,0.03100586,0.34332275,0.51116943,0.24414062,0.0021972656,0.016601562,0.00024414062,1635344600000.0
1.5563965,1.7166138,1.2283325,0.038085938,0.018310547,0.009765625,1.0604858,0.18310547,0.0,0.03125,0.018066406,0.03881836,1635344600000.0
0.78582764,1.5869141,1.3580322,0.046875,0.05029297,0.001953125,0.61035156,1.7623901,0.0,0.03125,0.014160156,0.04663086,1635344600000.0
1.3885498,0.045776367,0.12207031,0.053222656,0.007080078,0.060302734,0.0,0.9765625,0.16784668,0.061035156,0.02758789,0.056396484,1635344600000.0
1.0223389,0.061035156,1.3427734,0.0012207031,0.059326172,0.052001953,1.3961792,1.9073486,0.16784668,0.030517578,0.05444336,0.013916016,1635344600000.0
0.48828125,0.0,0.19836426,0.008056641,0.048583984,0.044189453,1.9378662,1.5945435,1.6860962,0.010253906,0.0107421875,0.05810547,1635344600000.0
0.9994507,0.49591064,1.8386841,0.0053710938,0.03857422,0.044189453,1.9378662,1.5945435,1.6860962,0.010253906,0.0107421875,0.05810547,1635344600000.0
1.2893677,0.90789795,1.2969971,0.009033203,0.033447266,0.052246094,0.0,0.9765625,1.7776489,0.009033203,0.043945312,0.0014648438,1635344600000.0
