G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.091552734,1.8157959,0.35858154,0.012451172,0.026611328,0.00390625,1635344400000.0
0.8239746,1.9378662,1.3504028,0.008544922,0.02734375,0.0068359375,0.2822876,1.2588501,1.5182495,0.011962891,0.014160156,0.0034179688,1635344400000.0
0.7019043,1.6937256,0.9765625,0.011474609,0.03564453,0.013671875,0.47302246,1.3275146,0.92315674,0.015625,0.039794922,0.0061035156,1635344400000.0
1.5640259,1.7623901,0.48065186,0.009521484,0.050048828,0.013916016,1.3198853,0.038146973,1.3046265,0.05126953,0.0043945312,0.047851562,1635344400000.0
1.2054443,1.449585,0.35858154,0.007080078,0.015625,0.017333984,0.8621216,0.47302246,0.0,0.03125,0.03173828,0.042236328,1635344400000.0
0.61035156,0.022888184,0.9689331,0.005859375,0.039794922,0.012939453,0.74005127,0.09918213,0.0,0.03125,0.021972656,0.04296875,1635344400000.0
1.4572144,1.6098022,1.1825562,0.009277344,0.020263672,0.0036621094,1.3961792,0.0076293945,1.6708374,0.060791016,0.021240234,0.061035156,1635344400000.0
0.60272217,1.914978,0.5569458,0.0026855469,0.01586914,0.05859375,0.50354004,0.045776367,1.5106201,0.01977539,0.034423828,0.0036621094,1635344400000.0
0.6637573,0.12207031,1.2054443,0.05517578,0.055908203,0.04736328,1.3504028,1.5335083,1.7089844,0.0073242188,0.036621094,0.05859375,1635344400000.0
1.1825562,0.091552734,0.18310547,0.04272461,0.049560547,0.040283203,1.7471313,1.8844604,0.4119873,0.005126953,0.015136719,0.0,1635344400000.0
0.88500977,1.4877319,1.8463135,0.05029297,0.045898438,0.04272461,1.197815,1.8081665,0.4043579,0.0041503906,0.020996094,0.00048828125,1635344400000.0
1.9378662,1.8997192,1.1901855,0.05419922,0.044433594,0.049316406,1.2741089,1.8234253,1.6555786,0.0056152344,0.023925781,0.0,1635344400000.0
0.35858154,0.10681152,0.2975464,0.0017089844,0.0078125,0.0024414062,0.1449585,1.6937256,1.4038086,0.010253906,0.020019531,0.00048828125,1635344400000.0
1.8005371,0.08392334,0.64086914,0.017333984,0.044677734,0.02734375,0.8087158,1.0757446,1.2741089,0.011474609,0.0087890625,0.0007324219,1635344400000.0
1.3122559,1.9378662,1.1749268,0.01171875,0.056640625,0.028320312,0.0,0.9765625,1.625061,0.013671875,0.0012207031,0.06225586,1635344400000.0
0.0,0.9765625,1.1367798,0.007080078,0.03857422,0.0026855469,0.60272217,1.7700195,1.7318726,0.052490234,0.026611328,0.041503906,1635344400000.0
1.701355,1.2664795,1.045227,0.0029296875,0.048828125,0.010009766,1.5869141,0.38909912,0.46539307,0.033203125,0.05517578,0.0390625,1635344400000.0
1.625061,1.7623901,1.8692017,0.008544922,0.056396484,0.016357422,0.045776367,1.9073486,0.0,0.03125,0.016845703,0.04272461,1635344400000.0
0.61035156,0.17547607,0.39672852,0.013427734,0.05859375,0.010253906,1.8997192,0.2975464,0.831604,0.061035156,0.026855469,0.059570312,1635344400000.0
1.6098022,0.2746582,1.8844604,0.0043945312,0.03100586,0.056152344,0.23651123,1.6098022,1.2893677,0.017333984,0.052978516,0.0107421875,1635344400000.0
0.74005127,0.19836426,0.38146973,0.044189453,0.021240234,0.04638672,0.88500977,1.7623901,1.121521,0.010253906,0.052490234,0.059814453,1635344400000.0
0.9994507,0.10681152,0.6790161,0.03125,0.030761719,0.03930664,1.7700195,1.8844604,0.36621094,0.0048828125,0.02709961,0.0,1635344400000.0
1.5258789,1.3656616,0.289917,0.046875,0.013916016,0.043945312,1.9454956,1.8615723,1.5945435,0.0024414062,0.03491211,0.0,1635344400000.0
0.1373291,1.7166138,0.2975464,0.052490234,0.048583984,0.046875,1.8310547,1.8386841,0.6561279,0.0063476562,0.0087890625,0.0,1635344400000.0
1.876831,0.15258789,0.44250488,0.05883789,0.04711914,0.056396484,0.4272461,1.7852783,0.8621216,0.011230469,0.021972656,0.06201172,1635344400000.0
0.35858154,0.076293945,1.6937256,0.016601562,0.02709961,0.017333984,1.6326904,1.197815,1.2359619,0.010009766,0.020507812,0.061279297,1635344400000.0
1.2512207,1.7089844,1.0147095,0.026123047,0.06225586,0.03100586,1.8844604,1.121521,1.4877319,0.01977539,0.033203125,0.0034179688,1635344400000.0
0.44250488,1.045227,1.5487671,0.006591797,0.020507812,0.017333984,0.47302246,1.5716553,0.44250488,0.05883789,0.0007324219,0.039794922,1635344400000.0
0.0,0.9765625,1.3122559,0.060302734,0.0107421875,0.0041503906,1.9454956,0.6637573,0.7019043,0.032470703,0.015380859,0.03564453,1635344400000.0
1.2130737,1.4572144,1.4343262,0.056884766,0.060058594,0.0126953125,0.076293945,1.7089844,0.0,0.03125,0.015136719,0.048339844,1635344400000.0
0.0,0.9765625,1.5945435,0.009033203,0.05126953,0.01928711,1.6021729,0.0,1.3275146,0.051513672,0.031982422,0.06201172,1635344400000.0
1.3961792,0.015258789,1.3656616,0.0075683594,0.03125,0.0126953125,1.6479492,1.2741089,0.37384033,0.026123047,0.043945312,0.010253906,1635344400000.0
1.9454956,0.9689331,0.8239746,0.0026855469,0.036376953,0.044677734,1.7547607,1.7700195,1.1825562,0.0087890625,0.022949219,0.061767578,1635344400000.0
0.4043579,0.90789795,0.24414062,0.05078125,0.042236328,0.033691406,0.32043457,1.8615723,1.5563965,0.004638672,0.061035156,0.00048828125,1635344400000.0
0.0,0.74768066,0.89263916,0.03515625,0.055908203,0.037597656,1.4419556,1.8615723,1.4572144,0.0031738281,0.057128906,0.0021972656,1635344400000.0
0.77819824,1.4724731,0.7019043,0.051513672,0.018798828,0.05102539,0.9689331,1.8463135,0.5874634,0.0056152344,0.059814453,0.0021972656,1635344400000.0
1.0528564,1.7318726,0.2975464,0.060302734,0.012451172,0.007080078,1.6555786,1.7776489,0.09918213,0.012207031,0.017578125,0.0034179688,1635344400000.0
1.4266968,1.6403198,1.1062622,0.013427734,0.06225586,0.03100586,0.6637573,1.0147095,1.0375977,0.011962891,0.0,0.0009765625,1635344400000.0
0.5187988,1.3885498,1.6479492,0.011474609,0.06225586,0.03100586,1.7776489,1.2054443,0.4348755,0.010253906,0.05078125,0.061767578,1635344400000.0
1.7929077,1.6555786,0.5645752,0.0029296875,0.049072266,0.011962891,0.88500977,0.51116943,0.6866455,0.048095703,0.028808594,0.04711914,1635344400000.0
0.44250488,1.2664795,1.6860962,0.0029296875,0.026123047,0.009277344,1.0299683,0.4043579,0.0,0.03125,0.04296875,0.046142578,1635344400000.0
1.8310547,1.6784668,1.5182495,0.0056152344,0.025390625,0.015136719,1.5182495,1.7929077,0.0,0.03125,0.051757812,0.044189453,1635344400000.0
0.9613037,0.38146973,0.25177002,0.010498047,0.0026855469,0.012207031,0.90789795,0.06866455,0.9765625,0.016357422,0.05493164,0.0048828125,1635344400000.0
1.1672974,0.4272461,0.5645752,0.00048828125,0.060546875,0.0546875,1.6708374,0.38909912,0.015258789,0.022949219,0.0126953125,0.0031738281,1635344400000.0
1.4266968,0.32806396,0.9613037,0.046875,0.05126953,0.03930664,1.2512207,1.8234253,0.015258789,0.009277344,0.03466797,0.06201172,1635344400000.0
1.6403198,0.1296997,0.2975464,0.036621094,0.061523438,0.03857422,1.373291,1.7929077,0.1373291,0.004638672,0.0029296875,0.061523438,1635344400000.0
0.48828125,1.6555786,1.7471313,0.04736328,0.043945312,0.046875,1.914978,1.7852783,1.0528564,0.0026855469,0.009765625,0.06225586,1635344400000.0
0.091552734,1.8463135,0.62561035,0.052490234,0.048828125,0.05419922,1.4266968,1.8463135,0.6713867,0.007080078,0.05859375,0.00048828125,1635344400000.0
1.449585,1.7929077,1.3275146,0.00024414062,0.03857422,0.0014648438,1.2435913,1.6555786,0.77819824,0.011230469,0.044677734,0.0,1635344400000.0
1.4953613,1.9378662,1.8463135,0.015380859,0.021484375,0.018554688,0.0,0.9765625,0.4348755,0.012939453,0.040283203,0.060058594,1635344400000.0
1.0910034,0.17547607,1.5182495,0.017578125,0.020996094,0.02709961,1.7318726,1.2817383,1.4801025,0.010498047,0.015625,0.06201172,1635344400000.0
