G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.7929077,0.10681152,1.8692017,0.0390625,0.013916016,0.048828125,1635345200000.0
0.061035156,1.663208,1.8310547,0.0031738281,0.010498047,0.015136719,1.663208,0.2746582,0.0,0.03125,0.0007324219,0.05810547,1635345200000.0
1.5411377,1.6021729,0.16784668,0.006591797,0.05126953,0.010498047,0.08392334,1.7242432,0.0,0.03125,0.022949219,0.061279297,1635345200000.0
1.5640259,1.5487671,1.2512207,0.0043945312,0.028076172,0.004638672,0.831604,0.12207031,1.914978,0.012207031,0.05859375,0.057861328,1635345200000.0
1.7700195,1.7089844,0.60272217,0.061767578,0.009521484,0.045654297,1.5563965,1.7089844,1.6403198,0.008056641,0.06201172,0.0017089844,1635345200000.0
0.46539307,1.6174316,1.8157959,0.053222656,0.036132812,0.036865234,0.25177002,1.8920898,1.8920898,0.0024414062,0.06201172,0.061523438,1635345200000.0
0.022888184,0.015258789,1.0681152,0.051513672,0.028808594,0.041015625,0.541687,1.8157959,1.5182495,0.005126953,0.04272461,0.0007324219,1635345200000.0
0.50354004,0.15258789,0.22125244,0.0546875,0.0031738281,0.05126953,1.4038086,1.7166138,1.8310547,0.009277344,0.05078125,0.0,1635345200000.0
0.09918213,1.8844604,0.08392334,0.0,0.030761719,0.0031738281,0.9613037,1.7318726,1.0528564,0.017333984,0.04663086,0.060546875,1635345200000.0
0.48828125,1.7318726,0.2746582,0.009033203,0.0034179688,0.020751953,0.0,0.9765625,1.4572144,0.013183594,0.042236328,0.057861328,1635345200000.0
1.6555786,1.8005371,0.091552734,0.005859375,0.057861328,0.01928711,0.74768066,1.7776489,0.022888184,0.056152344,0.04638672,0.05419922,1635345200000.0
0.2593994,1.6708374,0.8010864,0.0024414062,0.049804688,0.015625,1.1138916,0.5950928,0.0,0.03125,0.009033203,0.053955078,1635345200000.0
1.1672974,1.7166138,1.7547607,0.0041503906,0.049560547,0.014892578,1.8615723,0.24414062,0.0,0.03125,0.026611328,0.0053710938,1635345200000.0
1.3046265,1.8920898,0.10681152,0.0041503906,0.009277344,0.014160156,0.2670288,0.05340576,1.7166138,0.053710938,0.0075683594,0.0,1635345200000.0
0.39672852,1.8844604,0.076293945,0.059326172,0.061279297,0.056640625,0.2975464,1.6403198,0.5493164,0.017333984,0.04321289,0.055664062,1635345200000.0
1.1444092,1.5487671,0.5874634,0.053466797,0.011230469,0.045166016,0.1373291,1.6784668,0.76293945,0.0053710938,0.036132812,0.0,1635345200000.0
1.1901855,0.015258789,0.89263916,0.051757812,0.0078125,0.040527344,1.701355,1.7852783,1.8615723,0.0031738281,0.033203125,0.00024414062,1635345200000.0
1.1367798,1.8539429,1.2435913,0.053222656,0.013427734,0.05029297,0.579834,1.8081665,0.4348755,0.008544922,0.036621094,0.0012207031,1635345200000.0
1.8692017,1.9226074,0.45013428,0.060302734,0.0034179688,0.0007324219,1.876831,1.739502,1.0223389,0.014404297,0.03491211,0.0009765625,1635345200000.0
1.7776489,1.8920898,1.6326904,0.0075683594,0.022216797,0.017578125,0.11444092,1.6860962,0.9460449,0.021240234,0.05810547,0.05810547,1635345200000.0
1.5029907,0.11444092,0.64086914,0.008544922,0.05810547,0.019042969,1.5487671,1.2207031,0.19836426,0.013183594,0.020996094,0.061767578,1635345200000.0
1.411438,1.6403198,1.7471313,0.0048828125,0.059326172,0.011962891,0.35095215,0.15258789,0.49591064,0.04321289,0.025146484,0.05126953,1635345200000.0
0.34332275,1.5411377,0.2822876,0.0034179688,0.05102539,0.008056641,0.91552734,0.4196167,0.0,0.03125,0.0014648438,0.056640625,1635345200000.0
0.90026855,1.8463135,1.7318726,0.0009765625,0.060546875,0.00048828125,1.8310547,1.5563965,0.0,0.03125,0.0007324219,0.05834961,1635345200000.0
0.8468628,1.7623901,1.197815,0.059326172,0.04711914,0.05883789,1.7166138,1.9302368,1.5563965,0.010253906,0.045166016,0.05859375,1635345200000.0
0.8010864,1.8081665,0.015258789,0.05517578,0.0007324219,0.05419922,0.1373291,1.9378662,1.7166138,0.013183594,0.044189453,0.0021972656,1635345200000.0
1.5335083,1.8539429,0.091552734,0.0546875,0.036132812,0.052734375,0.5340576,1.914978,1.2969971,0.0036621094,0.038085938,0.060791016,1635345200000.0
0.17547607,1.8386841,1.7700195,0.055908203,0.018554688,0.05859375,0.60272217,1.8081665,0.35858154,0.0048828125,0.05883789,0.00024414062,1635345200000.0
1.5258789,1.876831,0.06866455,0.060058594,0.014892578,0.0029296875,0.17547607,1.7929077,1.6708374,0.009277344,0.016113281,0.00024414062,1635345200000.0
1.9454956,1.7929077,0.1296997,0.06201172,0.05419922,0.0107421875,1.2969971,1.7547607,0.45013428,0.015136719,0.004638672,0.060302734,1635345200000.0
1.4953613,1.7852783,1.5335083,0.0017089844,0.009277344,0.0126953125,0.4119873,1.3885498,1.1901855,0.0146484375,0.0,0.057128906,1635345200000.0
0.90789795,1.6784668,0.74768066,0.0026855469,0.037109375,0.010986328,0.45013428,1.2817383,0.5874634,0.0053710938,0.027832031,0.056396484,1635345200000.0
1.8310547,1.4190674,0.45013428,0.00048828125,0.029785156,0.010498047,1.7242432,0.06866455,0.5187988,0.037353516,0.009277344,0.052734375,1635345200000.0
0.92315674,1.6479492,0.33569336,0.0007324219,0.048583984,0.005859375,1.8234253,0.4043579,0.0,0.03125,0.009521484,0.059814453,1635345200000.0
0.1449585,1.8463135,1.7166138,0.0007324219,0.05126953,0.0068359375,1.6174316,1.7089844,0.0,0.03125,0.051757812,0.061035156,1635345200000.0
1.6021729,1.8920898,1.2512207,0.060546875,0.056884766,0.0026855469,0.25177002,0.038146973,0.5340576,0.008300781,0.018798828,0.061279297,1635345200000.0
1.2359619,1.8844604,0.869751,0.057617188,0.005859375,0.05078125,1.5869141,1.8615723,1.9454956,0.009765625,0.0075683594,0.06225586,1635345200000.0
0.77056885,0.015258789,0.77819824,0.055664062,0.03930664,0.048339844,0.7324219,1.8463135,0.49591064,0.0029296875,0.05419922,0.06201172,1635345200000.0
0.6942749,1.9073486,1.914978,0.056396484,0.060546875,0.052001953,0.23651123,1.8005371,0.9460449,0.0056152344,0.020019531,0.0007324219,1635345200000.0
1.7166138,1.7700195,0.18310547,0.060546875,0.057373047,0.0,1.8920898,1.7547607,0.4119873,0.009033203,0.046875,0.0,1635345200000.0
0.62561035,1.6555786,0.18310547,0.0009765625,0.057128906,0.011962891,1.6174316,1.7547607,0.5950928,0.017578125,0.021240234,0.060791016,1635345200000.0
1.5869141,0.0,1.0986328,0.00048828125,0.05493164,0.013427734,0.38146973,1.5487671,0.23651123,0.017089844,0.00048828125,0.057861328,1635345200000.0
1.3046265,1.8157959,1.1825562,0.060791016,0.021728516,0.0048828125,0.15258789,1.3504028,1.9302368,0.061523438,0.016357422,0.056396484,1635345200000.0
1.5411377,1.6021729,0.8544922,0.060302734,0.009765625,0.0034179688,0.34332275,0.25177002,1.0986328,0.03149414,0.048828125,0.048339844,1635345200000.0
0.8239746,1.8234253,0.8087158,0.06225586,0.022460938,0.0036621094,1.2817383,0.19073486,0.0,0.03125,0.029052734,0.0007324219,1635345200000.0
0.1449585,1.6479492,1.373291,0.001953125,0.03491211,0.0012207031,1.5792847,1.5640259,1.2817383,0.044433594,0.061767578,0.061767578,1635345200000.0
0.60272217,1.8997192,1.8539429,0.059326172,0.01586914,0.055419922,0.5722046,1.6098022,1.8463135,0.013427734,0.043945312,0.0024414062,1635345200000.0
1.6021729,1.8081665,1.4190674,0.055419922,0.028320312,0.056152344,1.6784668,1.7929077,0.62561035,0.005859375,0.010253906,0.0012207031,1635345200000.0
1.6021729,0.030517578,1.701355,0.056884766,0.03540039,0.05834961,1.914978,1.7700195,0.8773804,0.0014648438,0.032714844,0.06201172,1635345200000.0
0.33569336,1.914978,0.9841919,0.05883789,0.016845703,0.0043945312,0.11444092,1.7242432,0.16021729,0.0056152344,0.020507812,0.0012207031,1635345200000.0
1.5182495,1.8234253,1.8386841,0.061767578,0.05078125,0.009765625,1.2054443,1.7547607,1.1062622,0.009521484,0.0068359375,0.06201172,1635345200000.0
1.7089844,1.8157959,1.4724731,0.001953125,0.056152344,0.016845703,1.7242432,1.7547607,1.3504028,0.016357422,0.027832031,0.05810547,1635345200000.0
1.5411377,1.7776489,1.8463135,0.0041503906,0.015380859,0.016601562,0.0,0.9765625,0.08392334,0.009521484,0.040527344,0.057373047,1635345200000.0
1.3122559,1.701355,1.7623901,0.0014648438,0.030029297,0.008544922,0.25177002,1.6326904,0.20599365,0.056396484,0.017822266,0.055908203,1635345200000.0
0.030517578,1.5945435,0.24414062,0.0009765625,0.028808594,0.0036621094,1.2588501,0.37384033,0.0,0.03125,0.059570312,0.055908203,1635345200000.0
0.25177002,1.8005371,0.8544922,0.0021972656,0.011230469,0.00048828125,1.7700195,0.18310547,0.0,0.03125,0.030273438,0.00024414062,1635345200000.0
0.289917,1.9378662,1.3046265,0.0009765625,0.049804688,0.06201172,0.30517578,0.46539307,1.3580322,0.053955078,0.018310547,0.061523438,1635345200000.0
1.159668,0.1449585,0.90026855,0.05883789,0.020996094,0.055664062,0.16784668,1.6403198,0.19073486,0.017578125,0.03515625,0.0007324219,1635345200000.0
1.3427734,1.5487671,1.0299683,0.057373047,0.061767578,0.056640625,1.4419556,1.5716553,0.6713867,0.006591797,0.0024414062,0.0017089844,1635345200000.0
0.9918213,0.1296997,1.2969971,0.05517578,0.012939453,0.052490234,0.6561279,1.7700195,0.08392334,0.0041503906,0.01171875,0.0,1635345200000.0
1.4419556,1.8615723,0.8010864,0.05834961,0.038330078,0.05883789,0.8087158,1.7929077,1.449585,0.006591797,0.021484375,0.00024414062,1635345200000.0
0.5722046,1.914978,1.1444092,0.0007324219,0.020751953,0.005859375,0.9918213,1.7242432,0.5722046,0.01171875,0.045654297,0.0,1635345200000.0
0.51116943,1.9226074,1.5258789,0.0024414062,0.053710938,0.012451172,1.2435913,1.6479492,1.3275146,0.020996094,0.055908203,0.05859375,1635345200000.0
0.06866455,1.739502,1.3885498,0.0024414062,0.048828125,0.007080078,0.6713867,1.045227,1.8692017,0.010986328,0.0041503906,0.056884766,1635345200000.0
0.5340576,1.6784668,1.0910034,0.06201172,0.03564453,0.0034179688,1.7089844,1.5792847,1.2817383,0.046142578,0.045654297,0.053955078,1635345200000.0
1.0604858,1.701355,1.5258789,0.00048828125,0.028320312,0.0014648438,0.79345703,0.5187988,0.0,0.03125,0.017333984,0.052490234,1635345200000.0
0.16021729,1.8615723,0.88500977,0.0024414062,0.061279297,0.0024414062,1.5029907,1.4724731,0.0,0.03125,0.029296875,0.0009765625,1635345200000.0
0.64849854,1.9226074,1.876831,0.00024414062,0.020019531,0.0031738281,0.8163452,0.17547607,0.74005127,0.0146484375,0.060791016,0.06225586,1635345200000.0
0.49591064,0.0076293945,0.45013428,0.060058594,0.0012207031,0.05810547,1.411438,0.16784668,1.2054443,0.01586914,0.040283203,0.061035156,1635345200000.0
1.5563965,1.6555786,0.39672852,0.056884766,0.008544922,0.059570312,0.08392334,1.914978,1.7166138,0.004638672,0.03564453,0.061035156,1635345200000.0
0.89263916,1.7318726,0.9689331,0.057617188,0.027832031,0.06201172,0.22125244,1.8692017,0.77056885,0.0029296875,0.049560547,0.061767578,1635345200000.0
1.4801025,1.7318726,1.8692017,0.05883789,0.0087890625,0.0053710938,0.9841919,1.8005371,0.51116943,0.008056641,0.0036621094,0.0007324219,1635345200000.0
0.2593994,1.7623901,0.1296997,0.061523438,0.008300781,0.012207031,1.5411377,1.7929077,0.7171631,0.013916016,0.0087890625,0.060791016,1635345200000.0
1.121521,1.6937256,0.74005127,0.00048828125,0.03857422,0.013671875,0.30517578,1.4877319,0.7324219,0.017578125,0.057617188,0.0546875,1635345200000.0
1.7471313,1.6326904,0.5874634,0.0007324219,0.042236328,0.0075683594,0.6713867,1.1367798,1.2435913,0.0068359375,0.043701172,0.05810547,1635345200000.0
1.6784668,1.5258789,1.5182495,0.06225586,0.053710938,0.00390625,1.4877319,1.8539429,0.8392334,0.040527344,0.036621094,0.049316406,1635345200000.0
0.2593994,1.7242432,1.1520386,0.00048828125,0.03930664,0.0031738281,1.3198853,0.5340576,0.0,0.03125,0.055908203,0.05493164,1635345200000.0
0.061035156,1.8157959,0.19073486,0.0014648438,0.015625,0.0041503906,1.8615723,1.2664795,0.0,0.03125,0.02709961,0.061279297,1635345200000.0
1.7623901,1.8844604,0.4272461,0.06201172,0.015136719,0.0029296875,0.4119873,1.8692017,1.7776489,0.011962891,0.0061035156,0.0029296875,1635345200000.0
1.1520386,1.8844604,0.6637573,0.05883789,0.044189453,0.05859375,1.914978,0.038146973,1.5792847,0.012939453,0.020507812,0.0026855469,1635345200000.0
1.3885498,1.6937256,0.79345703,0.05834961,0.061035156,0.056884766,0.30517578,1.8615723,0.7247925,0.0036621094,0.023925781,0.061523438,1635345200000.0
1.0223389,1.701355,0.022888184,0.057861328,0.027832031,0.05883789,0.869751,1.8157959,0.24414062,0.005126953,0.030273438,0.0009765625,1635345200000.0
1.5029907,1.7547607,1.2130737,0.05834961,0.048339844,0.00048828125,1.8081665,1.7929077,1.1367798,0.008300781,0.044921875,0.0007324219,1635345200000.0
1.8920898,1.7776489,1.8997192,0.060058594,0.0390625,0.0061035156,0.63323975,1.7852783,1.5258789,0.0146484375,0.028564453,0.061767578,1635345200000.0
1.1520386,1.8081665,0.030517578,0.0014648438,0.017333984,0.010498047,0.4043579,1.5563965,0.5645752,0.017089844,0.011962891,0.057373047,1635345200000.0
1.0528564,1.6860962,0.8773804,0.0031738281,0.046142578,0.009033203,0.34332275,1.3504028,0.18310547,0.0056152344,0.022949219,0.057373047,1635345200000.0
1.0375977,1.6479492,0.50354004,0.0012207031,0.011230469,0.0087890625,0.289917,0.44250488,1.2741089,0.037109375,0.056640625,0.052246094,1635345200000.0
0.12207031,1.7089844,0.61035156,0.0014648438,0.0,0.0078125,0.8239746,0.289917,0.0,0.03125,0.03564453,0.00048828125,1635345200000.0
0.9994507,1.8920898,0.4348755,0.0041503906,0.04345703,0.007080078,1.7776489,0.061035156,0.0,0.03125,0.02709961,0.001953125,1635345200000.0
0.88500977,1.8997192,0.37384033,0.0014648438,0.03100586,0.001953125,1.739502,1.701355,0.45776367,0.0107421875,0.020019531,0.0031738281,1635345200000.0
0.5264282,0.15258789,0.0,0.056396484,0.056152344,0.049560547,1.7547607,0.05340576,0.8468628,0.012451172,0.04711914,0.057373047,1635345200000.0
1.1138916,1.8692017,1.4953613,0.052490234,0.041259766,0.046142578,0.8468628,1.8234253,1.914978,0.0053710938,0.02758789,0.060791016,1635345200000.0
0.6790161,1.9226074,1.701355,0.055419922,0.032226562,0.048583984,1.0910034,1.8615723,0.20599365,0.0056152344,0.057128906,0.00024414062,1635345200000.0
1.2817383,1.914978,1.8615723,0.057861328,0.045410156,0.057373047,1.5563965,1.7776489,0.20599365,0.011230469,0.0390625,0.0007324219,1635345200000.0
1.449585,1.876831,0.91552734,0.0007324219,0.037353516,0.0068359375,0.7019043,1.7623901,1.197815,0.01928711,0.06225586,0.06201172,1635345200000.0
1.2054443,1.8310547,1.8920898,0.0048828125,0.009033203,0.017089844,0.8468628,1.3961792,0.16021729,0.015380859,0.03515625,0.057861328,1635345200000.0
1.8997192,1.8692017,1.9454956,0.0036621094,0.032958984,0.013916016,0.63323975,1.3809204,0.20599365,0.0012207031,0.048095703,0.056884766,1635345200000.0
1.3275146,1.5716553,0.4348755,0.0014648438,0.04296875,0.010986328,1.0528564,0.24414062,1.3885498,0.036621094,0.044433594,0.052490234,1635345200000.0
1.1291504,1.5945435,1.5029907,0.001953125,0.0034179688,0.0107421875,1.914978,0.24414062,0.0,0.03125,0.051513672,0.05834961,1635345200000.0
1.2588501,1.8539429,0.19073486,0.0031738281,0.022949219,0.009521484,1.6098022,1.914978,0.5645752,0.032226562,0.056640625,0.0031738281,1635345200000.0
1.4877319,1.701355,1.9073486,0.00048828125,0.012939453,0.060791016,1.6403198,1.7242432,0.51116943,0.0056152344,0.03149414,0.0,1635345200000.0
1.8539429,1.8844604,0.08392334,0.05859375,0.0009765625,0.044677734,1.1444092,0.11444092,1.7929077,0.012939453,0.0146484375,0.060791016,1635345200000.0
0.6637573,1.6784668,1.0604858,0.0546875,0.053955078,0.045166016,1.7166138,1.8615723,0.18310547,0.004638672,0.014160156,0.061767578,1635345200000.0
0.9841919,1.8920898,1.0604858,0.05444336,0.024169922,0.049804688,1.6479492,1.8615723,1.5106201,0.0043945312,0.045410156,0.00048828125,1635345200000.0
0.6866455,1.8386841,0.88500977,0.057128906,0.001953125,0.060546875,0.75531006,1.8081665,0.88500977,0.008544922,0.045654297,0.0009765625,1635345200000.0
1.083374,1.8920898,1.411438,0.061767578,0.0041503906,0.009521484,0.8163452,1.7318726,1.4724731,0.01171875,0.012939453,0.00048828125,1635345200000.0
1.121521,1.8997192,1.5106201,0.0029296875,0.038085938,0.024414062,0.5569458,1.6555786,1.335144,0.016845703,0.013916016,0.05834961,1635345200000.0
1.9302368,1.7089844,0.48828125,0.0036621094,0.045898438,0.01977539,0.0,0.9765625,1.6784668,0.0078125,0.0031738281,0.05810547,1635345200000.0
0.88500977,1.5716553,1.2359619,0.0,0.056640625,0.010009766,1.3656616,1.5792847,1.4266968,0.048583984,0.05444336,0.05102539,1635345200000.0
0.44250488,1.4724731,1.7166138,0.06225586,0.0056152344,0.008544922,0.9384155,0.62561035,0.31280518,0.03149414,0.05444336,0.05078125,1635345200000.0
0.79345703,1.8234253,0.36621094,0.0029296875,0.024414062,0.009765625,0.47302246,1.914978,0.0,0.03125,0.0146484375,0.0031738281,1635345200000.0
0.38909912,1.8157959,0.20599365,0.00390625,0.010253906,0.0053710938,1.8157959,1.8463135,0.4196167,0.056640625,0.0021972656,0.0014648438,1635345200000.0
1.0528564,1.7471313,0.9841919,0.00024414062,0.048095703,0.055908203,1.8615723,1.625061,1.4801025,0.011962891,0.060058594,0.059570312,1635345200000.0
1.3504028,1.8005371,0.64086914,0.057861328,0.033935547,0.053222656,0.77056885,1.663208,0.869751,0.0073242188,0.06225586,0.00048828125,1635345200000.0
1.8234253,1.8997192,1.5029907,0.05810547,0.021484375,0.052001953,0.91552734,1.7852783,0.6942749,0.00390625,0.033203125,0.0009765625,1635345200000.0
0.30517578,1.9073486,0.61798096,0.059814453,0.022949219,0.05908203,1.8386841,1.876831,1.5182495,0.009033203,0.04272461,0.00048828125,1635345200000.0
0.05340576,1.9073486,1.3961792,0.061035156,0.052978516,0.00390625,1.8539429,1.739502,1.3656616,0.009277344,0.0031738281,0.0007324219,1635345200000.0
1.5563965,1.7852783,1.1672974,0.0,0.01953125,0.0078125,0.4348755,1.6937256,0.25177002,0.015136719,0.01977539,0.0,1635345200000.0
1.8539429,1.7089844,0.8468628,0.0021972656,0.057861328,0.008300781,1.335144,1.1444092,1.7166138,0.012207031,0.060058594,0.053955078,1635345200000.0
1.3580322,1.6555786,0.1296997,0.0009765625,0.033691406,0.008056641,0.08392334,1.3046265,1.2435913,0.052001953,0.030761719,0.053466797,1635345200000.0
1.8310547,1.7318726,1.7089844,0.0007324219,0.0014648438,0.0056152344,1.8005371,0.5569458,0.4272461,0.03540039,0.06201172,0.046142578,1635345200000.0
0.16784668,1.7929077,1.197815,0.0031738281,0.023925781,0.005859375,0.5874634,1.876831,0.0,0.03125,0.061523438,0.0014648438,1635345200000.0
1.2893677,1.8615723,0.5187988,0.00390625,0.0078125,0.00390625,0.21362305,1.8997192,0.19073486,0.03857422,0.008544922,0.0041503906,1635345200000.0
1.8005371,1.8005371,1.159668,0.001953125,0.03857422,0.00024414062,1.3198853,1.8997192,1.9302368,0.008300781,0.046142578,0.0036621094,1635345200000.0
1.6860962,0.4196167,0.63323975,0.061035156,0.021972656,0.05126953,1.3122559,1.7700195,0.9536743,0.009277344,0.021484375,0.06225586,1635345200000.0
1.0910034,1.9454956,0.37384033,0.060546875,0.044189453,0.053222656,1.8463135,1.8005371,1.8615723,0.0026855469,0.019042969,0.0009765625,1635345200000.0
1.1291504,1.8463135,0.74768066,0.059814453,0.055664062,0.059570312,0.79345703,1.8463135,1.7318726,0.0056152344,0.047851562,0.0012207031,1635345200000.0
0.8621216,1.8386841,1.625061,0.05908203,0.04248047,0.0034179688,0.88500977,1.7852783,0.5187988,0.010009766,0.04345703,0.0012207031,1635345200000.0
1.4343262,1.7166138,0.2746582,0.05859375,0.041259766,0.0087890625,1.8844604,1.701355,0.9918213,0.013183594,0.0007324219,0.0,1635345200000.0
1.3427734,1.739502,0.36621094,0.059814453,0.022460938,0.010498047,0.16784668,1.6937256,0.015258789,0.016357422,0.021972656,0.05810547,1635345200000.0
0.64849854,1.7089844,0.12207031,0.0014648438,0.021972656,0.008544922,1.8081665,1.5640259,1.7242432,0.009033203,0.05859375,0.057861328,1635345200000.0
1.1825562,1.7318726,1.2512207,0.0021972656,0.030517578,0.009033203,1.739502,0.015258789,1.5029907,0.042236328,0.036376953,0.05517578,1635345200000.0
0.16784668,1.8310547,1.4038086,0.0031738281,0.014892578,0.0063476562,1.0070801,0.45013428,0.0,0.03125,0.010498047,0.057128906,1635345200000.0
1.0604858,1.8005371,1.0223389,0.00390625,0.010253906,0.00390625,0.045776367,1.8692017,0.0,0.03125,0.026611328,0.0017089844,1635345200000.0
1.8157959,0.015258789,1.4190674,0.0012207031,0.020263672,0.060058594,1.121521,1.8615723,1.4343262,0.018066406,0.05517578,0.060302734,1635345200000.0
0.8163452,0.32043457,0.6866455,0.056884766,0.057617188,0.052246094,1.6021729,0.061035156,0.5645752,0.01586914,0.03149414,0.056884766,1635345200000.0
1.411438,1.7776489,1.0910034,0.056884766,0.005126953,0.05493164,0.24414062,1.876831,1.2283325,0.0063476562,0.009521484,0.060302734,1635345200000.0
0.7171631,1.9073486,0.39672852,0.05834961,0.034179688,0.055664062,0.015258789,1.8920898,1.2817383,0.005126953,0.018310547,0.00048828125,1635345200000.0
1.4343262,1.9226074,0.9536743,0.060058594,0.034423828,0.061279297,0.831604,1.8310547,0.4043579,0.0107421875,0.049560547,0.0017089844,1635345200000.0
1.7776489,1.739502,0.93078613,0.061523438,0.03466797,0.0031738281,1.5869141,1.701355,0.2746582,0.014404297,0.013671875,0.0017089844,1635345200000.0
1.5792847,1.6174316,0.77056885,0.0021972656,0.022216797,0.009521484,1.7776489,1.7929077,1.5182495,0.020751953,0.05078125,0.05834961,1635345200000.0
1.4038086,1.9073486,0.38909912,0.0034179688,0.021240234,0.0087890625,0.9689331,1.2283325,1.6479492,0.010009766,0.045654297,0.0007324219,1635345200000.0
0.15258789,1.701355,0.33569336,0.0034179688,0.061767578,0.008056641,0.34332275,0.1373291,0.91552734,0.04663086,0.0026855469,0.05444336,1635345200000.0
0.06866455,1.8005371,1.4419556,0.0036621094,0.020507812,0.007080078,1.3046265,0.48065186,0.0,0.03125,0.026611328,0.05493164,1635345200000.0
0.45013428,1.8005371,0.8468628,0.0043945312,0.03173828,0.006591797,0.62561035,1.335144,0.0,0.03125,0.026855469,0.061035156,1635345200000.0
1.373291,1.8386841,0.5264282,0.0,0.057128906,0.06225586,1.4419556,1.9454956,0.38146973,0.0146484375,0.0107421875,0.00048828125,1635345200000.0
1.6098022,1.7089844,1.8920898,0.05883789,0.025390625,0.055664062,1.2207031,0.46539307,0.2593994,0.018798828,0.05517578,0.00048828125,1635345200000.0
1.3122559,1.7776489,1.876831,0.055908203,0.059570312,0.052246094,1.625061,1.8997192,0.5645752,0.006591797,0.009765625,0.061523438,1635345200000.0
