G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0757446,0.34332275,0.06866455,0.0036621094,0.03540039,0.053710938,1635345000000.0
0.0,0.9765625,1.7929077,0.030273438,0.033203125,0.0546875,0.61035156,1.4343262,1.3580322,0.010498047,0.04638672,0.0009765625,1635345000000.0
0.9384155,1.8615723,0.8163452,0.041503906,0.025634766,0.0,1.7089844,0.022888184,0.31280518,0.02368164,0.05493164,0.0043945312,1635345000000.0
0.869751,0.0076293945,1.1901855,0.032958984,0.051513672,0.010253906,0.7095337,1.449585,1.2054443,0.038085938,0.02319336,0.00024414062,1635345000000.0
0.289917,1.9454956,0.0,0.03125,0.04296875,0.055419922,0.9613037,0.31280518,1.8997192,0.05517578,0.01953125,0.0068359375,1635345000000.0
0.39672852,0.22888184,0.0,0.03125,0.0056152344,0.06225586,1.2130737,0.4196167,0.49591064,0.05859375,0.029296875,0.00024414062,1635345000000.0
0.1449585,1.8615723,0.091552734,0.03930664,0.009033203,0.0073242188,1.625061,0.831604,1.6098022,0.024658203,0.037597656,0.0026855469,1635345000000.0
1.4801025,0.34332275,1.9454956,0.03100586,0.0,0.00390625,0.38909912,0.0076293945,0.4119873,0.052734375,0.0126953125,0.0009765625,1635345000000.0
0.2975464,0.2822876,1.9454956,0.03100586,0.061035156,0.046142578,0.2822876,1.2664795,1.0528564,0.051513672,0.033203125,0.057373047,1635345000000.0
1.0375977,1.449585,0.6713867,0.02734375,0.022460938,0.044433594,0.7171631,0.2746582,1.045227,0.060302734,0.046875,0.050048828,1635345000000.0
1.663208,1.0223389,0.579834,0.029296875,0.0061035156,0.061767578,0.831604,1.4190674,0.44250488,0.014892578,0.05908203,0.0034179688,1635345000000.0
1.9454956,0.9689331,0.5187988,0.061767578,0.03955078,0.060546875,0.2670288,1.6326904,0.30517578,0.016357422,0.010009766,0.053710938,1635345000000.0
0.9918213,0.289917,0.0,0.03125,0.018066406,0.014404297,0.64086914,1.5182495,0.0,0.03125,0.028320312,0.05126953,1635345000000.0
0.6866455,1.8997192,0.0,0.03125,0.060302734,0.053710938,0.4196167,0.38909912,1.449585,0.060058594,0.04296875,0.0075683594,1635345000000.0
0.32043457,1.9226074,0.0,0.03125,0.019042969,0.061767578,0.831604,0.05340576,0.90789795,0.010498047,0.010986328,0.010498047,1635345000000.0
0.61035156,0.31280518,1.0223389,0.052978516,0.018554688,0.0087890625,0.30517578,0.8392334,1.9454956,0.03100586,0.044433594,0.055664062,1635345000000.0
1.0147095,1.8997192,1.9454956,0.03100586,0.029052734,0.009765625,1.2435913,0.20599365,0.38146973,0.038330078,0.01953125,0.001953125,1635345000000.0
1.2435913,0.289917,1.9454956,0.03100586,0.060791016,0.057128906,1.3809204,1.1444092,0.4348755,0.051757812,0.061523438,0.052246094,1635345000000.0
