G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.50354004,1.3885498,1.2969971,0.05102539,0.028808594,0.006591797,1635344700000.0
1.4038086,0.09918213,0.50354004,0.056884766,0.055419922,0.0068359375,1.4877319,1.2130737,0.90789795,0.0024414062,0.047607422,0.024169922,1635344700000.0
1.8692017,0.7171631,0.24414062,0.036132812,0.06225586,0.03100586,0.30517578,1.9073486,1.2969971,0.055419922,0.03540039,0.055908203,1635344700000.0
0.64849854,0.44250488,0.0,0.03125,0.0078125,0.020263672,1.0375977,1.6403198,1.663208,0.057373047,0.0,0.03125,1635344700000.0
0.869751,0.48065186,0.9384155,0.03930664,0.0031738281,0.01171875,0.89263916,0.022888184,1.7166138,0.04711914,0.0,0.03125,1635344700000.0
1.9073486,1.7623901,1.2283325,0.05908203,0.026611328,0.056640625,0.22888184,0.16021729,1.0604858,0.007080078,0.060302734,0.0048828125,1635344700000.0
0.2822876,0.2593994,0.60272217,0.018066406,0.052978516,0.05493164,0.33569336,1.6937256,1.4190674,0.028564453,0.012939453,0.0078125,1635344700000.0
1.6708374,1.1520386,0.5874634,0.026123047,0.028320312,0.038085938,1.7089844,1.5792847,1.0299683,0.042236328,0.0073242188,0.0078125,1635344700000.0
1.2664795,0.030517578,0.7324219,0.009521484,0.040771484,0.060058594,0.0,0.9765625,0.32043457,0.0,0.041748047,0.026123047,1635344700000.0
1.5487671,0.4119873,1.6174316,0.044189453,0.06225586,0.03100586,0.0,0.9765625,0.22888184,0.008544922,0.057373047,0.022460938,1635344700000.0
1.5106201,1.2435913,1.3046265,0.0043945312,0.06225586,0.03100586,0.89263916,1.8463135,0.9841919,0.060058594,0.0,0.03125,1635344700000.0
0.62561035,0.022888184,0.4348755,0.046875,0.05053711,0.02709961,1.8463135,1.8920898,1.8386841,0.052734375,0.0,0.03125,1635344700000.0
1.045227,1.5182495,0.831604,0.046142578,0.029785156,0.0073242188,1.1138916,0.49591064,0.78582764,0.01928711,0.017578125,0.049316406,1635344700000.0
0.091552734,0.5493164,1.914978,0.010986328,0.018066406,0.050048828,0.50354004,1.625061,1.2893677,0.018066406,0.018066406,0.017333984,1635344700000.0
0.541687,1.0986328,1.5106201,0.004638672,0.036621094,0.038330078,1.8539429,1.6860962,0.22125244,0.049316406,0.015625,0.0073242188,1635344700000.0
0.022888184,1.7700195,0.015258789,0.05444336,0.0029296875,0.055419922,1.5106201,0.9994507,0.541687,0.059814453,0.034179688,0.02368164,1635344700000.0
0.030517578,0.289917,1.876831,0.035888672,0.06225586,0.03100586,0.0,0.9765625,1.1062622,0.010253906,0.0048828125,0.021728516,1635344700000.0
0.9841919,1.449585,0.4196167,0.03564453,0.010986328,0.0234375,1.7929077,1.7242432,1.2893677,0.009521484,0.028564453,0.049804688,1635344700000.0
1.8157959,0.61798096,1.1138916,0.038330078,0.009521484,0.015625,1.2359619,1.5182495,1.4724731,0.057861328,0.0,0.03125,1635344700000.0
1.1138916,0.38909912,1.7471313,0.045410156,0.03100586,0.011230469,0.7095337,0.5493164,0.22888184,0.057373047,0.033447266,0.03930664,1635344700000.0
1.7242432,1.3580322,0.6942749,0.05834961,0.005859375,0.049316406,0.4043579,0.541687,1.5029907,0.010253906,0.04296875,0.051513672,1635344700000.0
0.20599365,0.10681152,0.31280518,0.018554688,0.016113281,0.03491211,1.6860962,1.5945435,0.4119873,0.006591797,0.032714844,0.009277344,1635344700000.0
0.9841919,1.4724731,1.3046265,0.022460938,0.020751953,0.044921875,0.12207031,1.5869141,0.39672852,0.055419922,0.016113281,0.0043945312,1635344700000.0
1.4419556,0.030517578,0.5722046,0.060058594,0.021728516,0.004638672,0.20599365,1.3809204,0.45776367,0.0087890625,0.040527344,0.029541016,1635344700000.0
0.8239746,0.35095215,1.7318726,0.03857422,0.06225586,0.03100586,0.022888184,0.08392334,0.579834,0.05810547,0.010986328,0.052001953,1635344700000.0
0.9918213,0.091552734,1.4953613,0.03564453,0.029052734,0.024902344,1.3427734,0.0,1.8157959,0.05029297,0.0,0.03125,1635344700000.0
1.7700195,0.17547607,1.0681152,0.041259766,0.008544922,0.010009766,1.914978,1.6708374,0.4348755,0.059570312,0.0,0.03125,1635344700000.0
1.2588501,1.914978,0.93078613,0.05810547,0.048339844,0.048339844,1.9073486,0.09918213,0.78582764,0.0031738281,0.041992188,0.0087890625,1635344700000.0
1.1825562,1.4877319,0.32043457,0.009765625,0.03515625,0.00048828125,0.60272217,1.6403198,1.2664795,0.029785156,0.04296875,0.0087890625,1635344800000.0
1.3656616,1.3504028,1.2359619,0.020751953,0.023925781,0.048095703,0.7019043,1.6021729,1.876831,0.044677734,0.001953125,0.0041503906,1635344800000.0
1.1901855,0.32806396,0.22125244,0.011962891,0.036621094,0.052490234,0.4043579,1.0986328,0.23651123,0.06225586,0.03857422,0.024902344,1635344800000.0
0.77819824,1.8615723,1.914978,0.03955078,0.0,0.025878906,1.7166138,1.0604858,0.05340576,0.0068359375,0.06225586,0.03100586,1635344800000.0
1.8081665,1.7547607,0.0,0.03125,0.011230469,0.026855469,0.6942749,0.0,1.4266968,0.059570312,0.015625,0.048583984,1635344800000.0
1.9454956,0.9689331,0.289917,0.03149414,0.029296875,0.009033203,1.5182495,1.7852783,0.38146973,0.0034179688,0.0,0.03125,1635344800000.0
0.4348755,0.63323975,1.876831,0.042236328,0.029785156,0.060058594,1.7776489,0.1449585,0.030517578,0.057861328,0.0,0.03125,1635344800000.0
1.9073486,1.3961792,1.6326904,0.051513672,0.048583984,0.049560547,0.8544922,0.9613037,0.64086914,0.02734375,0.015625,0.006591797,1635344800000.0
0.7095337,0.9918213,0.8239746,0.017578125,0.013183594,0.049316406,1.6708374,1.6860962,0.831604,0.0017089844,0.0031738281,0.0063476562,1635344800000.0
1.2283325,1.8310547,0.38909912,0.018066406,0.011962891,0.060546875,1.4038086,1.2359619,1.045227,0.057128906,0.020263672,0.011962891,1635344800000.0
1.6326904,0.1373291,1.8615723,0.04296875,0.040039062,0.019042969,0.0,0.9765625,0.50354004,0.0075683594,0.06225586,0.03100586,1635344800000.0
1.373291,0.2670288,0.22888184,0.034423828,0.038085938,0.029785156,1.1291504,0.37384033,1.6479492,0.052734375,0.06201172,0.041015625,1635344800000.0
0.2670288,0.48065186,1.2359619,0.036865234,0.018310547,0.018798828,1.3275146,1.4648438,1.7471313,0.06225586,0.0,0.03125,1635344800000.0
1.2359619,0.34332275,1.3656616,0.041992188,0.0234375,0.010498047,0.2593994,1.8692017,0.9765625,0.060791016,0.0,0.03125,1635344800000.0
1.0223389,1.663208,1.3504028,0.059326172,0.053710938,0.05419922,1.7547607,0.8010864,1.9454956,0.03100586,0.030273438,0.011230469,1635344800000.0
0.5187988,1.5716553,1.5182495,0.0063476562,0.01928711,0.044677734,1.5563965,1.6174316,0.45776367,0.0029296875,0.022949219,0.0073242188,1635344800000.0
1.3427734,1.2741089,1.8692017,0.027832031,0.04711914,0.04272461,0.61798096,1.1901855,1.701355,0.05053711,0.02319336,0.011962891,1635344800000.0
0.63323975,0.31280518,0.17547607,0.060058594,0.050048828,0.0,1.9226074,1.5487671,1.8005371,0.0036621094,0.048583984,0.026855469,1635344800000.0
0.10681152,0.90789795,0.8087158,0.038085938,0.06225586,0.03100586,0.9994507,0.38146973,0.09918213,0.0078125,0.034179688,0.046875,1635344800000.0
1.663208,0.4196167,0.0,0.03125,0.008300781,0.028564453,1.0604858,1.4724731,0.4196167,0.048095703,0.0,0.03125,1635344800000.0
1.4190674,0.7324219,1.0757446,0.03881836,0.028320312,0.020019531,0.75531006,1.7852783,0.2975464,0.056884766,0.0,0.03125,1635344800000.0
0.74768066,1.7166138,0.5187988,0.05444336,0.0390625,0.060302734,0.61798096,0.12207031,1.7242432,0.0078125,0.052246094,0.009277344,1635344800000.0
1.914978,0.4272461,0.6790161,0.018066406,0.0036621094,0.057373047,0.32043457,1.6479492,0.5874634,0.02319336,0.044921875,0.009521484,1635344800000.0
0.0,0.9765625,1.9454956,0.03100586,0.0063476562,0.036132812,1.8081665,1.4572144,0.35858154,0.050048828,0.045654297,0.005859375,1635344800000.0
1.373291,0.11444092,1.3504028,0.007080078,0.04272461,0.055908203,0.32043457,1.2054443,1.1062622,0.0031738281,0.03881836,0.030517578,1635344800000.0
1.5487671,0.4348755,1.7089844,0.03881836,0.06225586,0.03100586,1.5258789,1.0604858,0.5493164,0.010009766,0.03149414,0.026855469,1635344800000.0
1.1291504,1.9454956,0.6790161,0.033935547,0.0031738281,0.026367188,0.5645752,1.663208,0.76293945,0.052734375,0.0,0.03125,1635344800000.0
0.5569458,0.50354004,0.7019043,0.041992188,0.046142578,0.017822266,0.4119873,1.6937256,1.3961792,0.059814453,0.0,0.03125,1635344800000.0
