G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.636132017883000000e+12
5.411752481688512084e-01,6.823513998650732049e-01,9.999977411815728079e-01,4.976863463081862005e-01,9.169968900481541008e-01,8.895653591492777013e-01,3.215679010858391029e-01,8.627431492546903113e-01,3.843128573952711569e-01,2.547213583467094478e-01,8.307835072231140039e-01,8.542962479935793940e-01,1.636132017988000000e+12
1.294114723882035523e-01,3.176463413164996030e-01,9.999977411815728079e-01,4.976863463081862005e-01,4.506608647672551982e-01,3.135032102728731868e-02,8.235275515612952568e-02,5.490183677075301943e-02,5.176458895528142090e-01,7.093010132423755998e-01,8.895653591492777013e-01,8.699714085072230985e-01,1.636132018078000000e+12
5.372536883995117085e-01,8.745078285627088110e-01,4.509793734740426552e-01,4.075541733547351497e-01,5.760621488764045006e-01,5.094427166934189372e-02,4.549009332433821551e-01,4.784302918594191545e-01,6.509789217103572057e-01,9.992914827447832993e-01,6.975446428571427937e-01,9.405096308186196019e-01,1.636132018183000000e+12
7.686257147905423137e-01,5.882339654009251934e-02,5.607830470155487079e-01,3.135032102728731868e-02,6.074124699036917985e-01,8.974029394060994980e-01,5.176458895528142090e-01,5.882339654009251934e-02,3.529403792405551021e-01,2.390461978330657988e-01,1.371576544943820253e-01,9.013217295345103686e-02,1.636132018288000000e+12
8.666647090240298112e-01,1.490192712349010518e-01,6.235280033249807063e-01,7.445701243980737960e-01,1.645891853932584248e-01,9.718599518459068998e-01,9.843115021042148083e-01,2.078426677749935780e-01,8.705862687933693111e-01,2.860716793739968011e-01,7.759204454253610939e-01,2.155334570626003254e-01,1.636132018378000000e+12
9.058803067174248103e-01,8.196059917919558124e-01,0.000000000000000000e+00,5.016051364365970988e-01,2.429649879614767249e-01,1.175637038523274537e-02,7.490179159438448142e-01,1.568623907735800654e-02,7.843119538679002578e-02,9.091593097913321930e-01,7.053822231139647014e-01,9.796975321027286965e-01,1.636132018483000000e+12
6.745082803263942051e-01,1.019605540028270391e-01,0.000000000000000000e+00,5.016051364365970988e-01,4.193105437399679003e-01,8.033519763242374934e-01,6.627436010183757054e-01,6.470573619410177058e-01,2.823523033924441039e-01,7.915956059390047983e-01,4.820111857945425515e-01,9.013217295345103963e-01,1.636132018588000000e+12
5.137243297834747091e-01,1.215683528495245386e-01,0.000000000000000000e+00,5.016051364365970988e-01,7.053822231139646182e-02,9.718599518459068998e-01,4.313715746273451279e-02,7.568610354825238140e-01,7.686257147905423137e-01,8.778089887640448952e-01,5.486306179775281011e-01,9.875351123595504932e-01,1.636132018678000000e+12
7.568610354825238140e-01,8.666647090240298112e-01,5.921555251702647071e-01,6.583567415730336991e-01,3.252595806581059512e-01,8.974029394060994980e-01,8.509784699466718116e-01,9.450959044108198093e-01,1.843133091589565786e-01,3.566099016853932491e-01,1.371576544943820253e-01,4.114729634831460481e-01,1.636132018783000000e+12
