G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637247600000.0
219.0,1.0,41.0,0.0,106.0,0.0,1.0,0.0,155.0,0.0,26.0,0.0,1637247600000.0
75.0,0.0,169.0,0.0,173.0,0.0,40.0,0.0,126.0,0.0,36.0,0.0,1637247600000.0
33.0,254.0,85.0,1.0,212.0,0.0,236.0,255.0,81.0,0.0,19.0,0.0,1637247600000.0
7.0,0.0,139.0,0.0,4.0,1.0,214.0,255.0,40.0,0.0,34.0,0.0,1637247600000.0
155.0,255.0,208.0,0.0,241.0,0.0,211.0,255.0,93.0,0.0,47.0,0.0,1637247600000.0
182.0,0.0,24.0,1.0,146.0,0.0,216.0,255.0,116.0,0.0,40.0,0.0,1637247600000.0
223.0,1.0,5.0,1.0,239.0,255.0,244.0,255.0,154.0,0.0,11.0,0.0,1637247600000.0
35.0,2.0,14.0,1.0,210.0,255.0,22.0,0.0,160.0,0.0,242.0,255.0,1637247600000.0
46.0,1.0,148.0,0.0,118.0,0.0,17.0,0.0,61.0,0.0,223.0,255.0,1637247600000.0
160.0,254.0,228.0,0.0,180.0,0.0,234.0,255.0,55.0,0.0,11.0,0.0,1637247600000.0
66.0,254.0,190.0,0.0,173.0,0.0,53.0,0.0,105.0,0.0,240.0,255.0,1637247600000.0
11.0,254.0,143.0,0.0,234.0,0.0,117.0,0.0,150.0,0.0,236.0,255.0,1637247600000.0
82.0,254.0,151.0,0.0,219.0,0.0,13.0,0.0,116.0,0.0,4.0,0.0,1637247600000.0
251.0,253.0,119.0,0.0,212.0,0.0,8.0,0.0,160.0,0.0,248.0,255.0,1637247600000.0
30.0,255.0,199.0,0.0,172.0,0.0,12.0,0.0,184.0,0.0,10.0,0.0,1637247600000.0
216.0,255.0,25.0,1.0,22.0,0.0,61.0,0.0,230.0,0.0,228.0,255.0,1637247600000.0
211.0,2.0,143.0,0.0,75.0,0.0,15.0,0.0,120.0,0.0,200.0,255.0,1637247600000.0
166.0,1.0,215.0,0.0,161.0,0.0,209.0,255.0,96.0,0.0,201.0,255.0,1637247600000.0
39.0,0.0,241.0,0.0,144.0,0.0,238.0,255.0,58.0,0.0,232.0,255.0,1637247600000.0
198.0,0.0,211.0,0.0,140.0,0.0,236.0,255.0,132.0,0.0,241.0,255.0,1637247600000.0
54.0,0.0,189.0,0.0,177.0,0.0,11.0,0.0,63.0,0.0,2.0,0.0,1637247600000.0
60.0,255.0,195.0,0.0,99.0,1.0,11.0,0.0,63.0,0.0,2.0,0.0,1637247600000.0
95.0,0.0,188.0,0.0,65.0,0.0,241.0,255.0,166.0,0.0,13.0,0.0,1637247600000.0
170.0,0.0,205.0,0.0,50.0,0.0,246.0,255.0,82.0,0.0,62.0,0.0,1637247600000.0
6.0,2.0,182.0,0.0,5.0,0.0,32.0,0.0,128.0,0.0,32.0,0.0,1637247600000.0
125.0,2.0,210.0,255.0,132.0,1.0,213.0,255.0,49.0,0.0,48.0,0.0,1637247600000.0
76.0,252.0,223.0,0.0,70.0,1.0,185.0,255.0,8.0,0.0,22.0,0.0,1637247600000.0
233.0,252.0,149.0,1.0,84.0,0.0,215.0,255.0,1.0,1.0,34.0,0.0,1637247600000.0
175.0,4.0,118.0,0.0,3.0,0.0,13.0,0.0,219.0,0.0,35.0,0.0,1637247600000.0
113.0,1.0,5.0,1.0,165.0,0.0,228.0,255.0,77.0,0.0,255.0,255.0,1637247600000.0
240.0,254.0,55.0,1.0,85.0,0.0,241.0,255.0,124.0,0.0,242.0,255.0,1637247600000.0
176.0,0.0,201.0,0.0,134.0,0.0,77.0,0.0,108.0,0.0,193.0,255.0,1637247600000.0
224.0,255.0,199.0,0.0,178.0,0.0,246.0,255.0,62.0,0.0,239.0,255.0,1637247600000.0
30.0,255.0,27.0,1.0,79.0,0.0,192.0,255.0,75.0,0.0,250.0,255.0,1637247600000.0
93.0,0.0,209.0,0.0,108.0,0.0,25.0,0.0,114.0,0.0,233.0,255.0,1637247600000.0
27.0,0.0,3.0,1.0,37.0,0.0,23.0,0.0,107.0,0.0,238.0,255.0,1637247600000.0
251.0,1.0,180.0,0.0,85.0,0.0,227.0,255.0,12.0,0.0,35.0,0.0,1637247600000.0
175.0,2.0,208.0,0.0,40.0,0.0,234.0,255.0,34.0,0.0,24.0,0.0,1637247600000.0
245.0,1.0,243.0,0.0,36.0,0.0,242.0,255.0,72.0,0.0,24.0,0.0,1637247600000.0
48.0,1.0,239.0,0.0,52.0,0.0,217.0,255.0,47.0,0.0,25.0,0.0,1637247600000.0
2.0,2.0,179.0,0.0,35.0,0.0,218.0,255.0,52.0,0.0,11.0,0.0,1637247600000.0
57.0,2.0,219.0,0.0,225.0,255.0,10.0,0.0,82.0,0.0,5.0,0.0,1637247600000.0
101.0,1.0,188.0,0.0,39.0,0.0,246.0,255.0,87.0,0.0,7.0,0.0,1637247600000.0
83.0,0.0,212.0,0.0,166.0,0.0,9.0,0.0,111.0,0.0,247.0,255.0,1637247600000.0
121.0,255.0,21.0,1.0,218.0,0.0,225.0,255.0,80.0,0.0,239.0,255.0,1637247600000.0
39.0,0.0,182.0,0.0,225.0,0.0,225.0,255.0,80.0,0.0,239.0,255.0,1637247600000.0
187.0,255.0,12.0,1.0,162.0,0.0,11.0,0.0,99.0,0.0,196.0,255.0,1637247600000.0
29.0,255.0,85.0,1.0,57.0,0.0,41.0,0.0,175.0,0.0,16.0,0.0,1637247600000.0
91.0,0.0,173.0,0.0,72.0,0.0,50.0,0.0,170.0,0.0,252.0,255.0,1637247600000.0
14.0,0.0,183.0,0.0,158.0,0.0,3.0,0.0,145.0,0.0,239.0,255.0,1637247600000.0
226.0,255.0,164.0,0.0,168.0,0.0,253.0,255.0,88.0,0.0,221.0,255.0,1637247600000.0
158.0,0.0,169.0,0.0,171.0,0.0,222.0,255.0,59.0,0.0,227.0,255.0,1637247600000.0
155.0,0.0,156.0,0.0,132.0,0.0,52.0,0.0,54.0,0.0,218.0,255.0,1637247600000.0
132.0,255.0,239.0,0.0,74.0,0.0,48.0,0.0,140.0,0.0,249.0,255.0,1637247600000.0
