G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.1444092,1.9226074,0.63323975,0.0029296875,0.0043945312,0.0048828125,1635935600000.0
0.5874634,0.17547607,1.2512207,0.061035156,0.016357422,0.04296875,0.7247925,1.9302368,0.579834,0.0029296875,0.028808594,0.0056152344,1635935600000.0
1.7852783,1.914978,1.8692017,0.05908203,0.061279297,0.052978516,0.11444092,1.8920898,0.34332275,0.0041503906,0.020263672,0.008056641,1635935600000.0
1.5258789,1.8844604,1.1672974,0.061279297,0.02734375,0.0031738281,0.38909912,0.015258789,0.48065186,0.005126953,0.013671875,0.012451172,1635935600000.0
0.030517578,1.7776489,0.9613037,0.0021972656,0.00390625,0.019042969,0.74005127,1.6403198,0.8010864,0.010009766,0.020019531,0.028076172,1635935600000.0
1.6098022,1.8157959,1.0070801,0.00390625,0.040771484,0.020996094,0.5569458,1.4190674,0.076293945,0.009765625,0.016113281,0.0053710938,1635935600000.0
1.5792847,0.022888184,1.2435913,0.0024414062,0.059326172,0.0126953125,0.33569336,1.914978,0.4119873,0.05444336,0.038330078,0.043701172,1635935600000.0
1.3122559,1.6479492,0.45776367,0.061279297,0.021728516,0.0146484375,1.5335083,0.10681152,0.9689331,0.044433594,0.0,0.03125,1635935600000.0
1.8463135,1.9073486,0.25177002,0.05834961,0.042236328,0.0068359375,0.16784668,0.7171631,0.5645752,0.041748047,0.0,0.03125,1635935600000.0
1.7623901,0.25177002,0.9613037,0.060058594,0.020507812,0.05126953,0.7171631,0.79345703,0.6561279,0.060302734,0.046875,0.010498047,1635935600000.0
1.5106201,0.4348755,0.47302246,0.059326172,0.032958984,0.044677734,0.62561035,0.1373291,0.76293945,0.010498047,0.008056641,0.0068359375,1635935600000.0
1.5792847,0.45013428,0.2822876,0.057128906,0.022949219,0.040283203,1.4190674,1.8920898,1.9378662,0.0031738281,0.0026855469,0.0061035156,1635935600000.0
1.5869141,0.15258789,0.16784668,0.057617188,0.03173828,0.040283203,1.5487671,1.9378662,0.22888184,0.0021972656,0.061035156,0.0061035156,1635935600000.0
0.64086914,0.1449585,1.7547607,0.061523438,0.046875,0.045166016,1.3198853,1.914978,0.9384155,0.0021972656,0.060302734,0.008544922,1635935600000.0
1.0757446,1.8920898,0.74768066,0.005859375,0.008544922,0.056152344,0.579834,1.9073486,0.831604,0.0029296875,0.045654297,0.019042969,1635935600000.0
