G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635936100000.0
1.8692017,1.8615723,1.5869141,0.0107421875,0.0053710938,0.056884766,0.0,0.0,0.0,0.0,0.0,0.0,1635936100000.0
0.8010864,1.5869141,1.7318726,0.040039062,0.010986328,0.05834961,0.0,0.0,0.0,0.0,0.0,0.0,1635936100000.0
1.3504028,1.8005371,1.6784668,0.041992188,0.045166016,0.059570312,0.0,0.0,0.0,0.0,0.0,0.0,1635936100000.0
0.33569336,0.79345703,0.0,0.03125,0.03173828,0.05859375,1.2054443,0.35858154,0.35858154,0.00024414062,0.0048828125,0.0075683594,1635936100000.0
0.63323975,0.4272461,0.0,0.03125,0.034179688,0.0078125,0.9460449,1.1520386,0.9918213,0.00390625,0.05517578,0.0036621094,1635936100000.0
0.0,0.9765625,0.77819824,0.015625,0.022460938,0.060791016,1.9073486,0.16784668,0.46539307,0.049804688,0.030029297,0.013427734,1635936100000.0
1.4190674,0.022888184,1.9454956,0.03100586,0.017089844,0.010498047,1.6021729,1.8615723,1.5258789,0.05883789,0.004638672,0.056396484,1635936100000.0
0.5950928,0.6866455,1.9454956,0.03100586,0.034423828,0.005126953,1.4266968,0.32806396,1.0147095,0.005859375,0.052734375,0.0034179688,1635936100000.0
0.2975464,1.5792847,0.5187988,0.012451172,0.03955078,0.049316406,0.0,0.9765625,1.5029907,0.009277344,0.02734375,0.061523438,1635936100000.0
1.6174316,0.045776367,1.8157959,0.049560547,0.0007324219,0.00390625,1.9073486,1.8997192,0.38909912,0.053955078,0.039794922,0.0063476562,1635936100000.0
0.2746582,1.3580322,0.23651123,0.04345703,0.03149414,0.0036621094,1.4190674,1.7623901,1.4724731,0.053466797,0.051513672,0.05834961,1635936100000.0
1.4648438,0.39672852,0.0,0.03125,0.044433594,0.05810547,1.5640259,1.8310547,0.10681152,0.060302734,0.052734375,0.0024414062,1635936100000.0
1.701355,0.36621094,0.0,0.03125,0.008300781,0.0034179688,0.9765625,0.44250488,1.3275146,0.00048828125,0.01977539,0.010498047,1635936100000.0
0.0,0.9765625,1.5869141,0.060058594,0.029052734,0.061523438,1.2741089,1.8539429,1.6555786,0.055419922,0.044433594,0.055908203,1635936100000.0
0.6637573,1.4877319,1.9454956,0.03100586,0.0107421875,0.011962891,1.4953613,1.6403198,0.9613037,0.056396484,0.0024414062,0.053710938,1635936100000.0
1.9454956,0.9689331,1.9454956,0.03100586,0.05883789,0.011230469,1.4953613,1.6403198,0.9613037,0.056396484,0.0024414062,0.053710938,1635936100000.0
