G1X,G1Y,G1Z,A1X,A1Y,A1Z,G2X,G2Y,G2Z,A2X,A2Y,A2Z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0299683,1.6784668,0.1373291,0.05517578,0.015380859,0.057128906,1637140500000.0
0.64086914,1.8844604,0.076293945,0.001953125,0.013183594,0.004638672,1.8997192,0.038146973,0.74005127,0.043701172,0.0012207031,0.051757812,1637140500000.0
0.90026855,1.8310547,0.10681152,0.0029296875,0.005859375,0.006591797,0.9460449,0.45013428,1.5640259,0.040771484,0.0056152344,0.04711914,1637140500000.0
1.5792847,0.2822876,1.411438,0.00024414062,0.0034179688,0.0036621094,0.22888184,0.30517578,1.2664795,0.040527344,0.0053710938,0.05053711,1637140500000.0
0.4196167,0.05340576,1.7089844,0.061279297,0.0007324219,0.0026855469,1.2207031,0.06866455,0.22125244,0.0021972656,0.0024414062,0.061279297,1637140500000.0
0.4043579,0.1296997,0.8239746,0.060302734,0.015136719,0.00048828125,1.449585,1.7166138,0.64086914,0.0107421875,0.010253906,0.0043945312,1637140500000.0
1.5640259,0.1449585,1.2512207,0.05908203,0.037353516,0.056152344,1.9378662,1.8463135,0.79345703,0.010498047,0.038330078,0.060302734,1637140500000.0
0.0076293945,0.17547607,1.197815,0.059570312,0.033447266,0.052001953,1.335144,0.10681152,0.10681152,0.0068359375,0.044921875,0.06201172,1637140500000.0
0.579834,0.46539307,0.45013428,0.05859375,0.020263672,0.057373047,1.2664795,1.9302368,0.045776367,0.0056152344,0.0146484375,0.0017089844,1637140500000.0
0.64086914,0.1449585,0.46539307,0.060546875,0.044677734,0.055419922,0.6942749,1.914978,1.9378662,0.0024414062,0.028808594,0.00048828125,1637140500000.0
0.93078613,0.076293945,0.35095215,0.0017089844,0.039794922,0.055908203,0.36621094,1.914978,1.7700195,0.0026855469,0.011474609,0.0007324219,1637140500000.0
0.20599365,0.1449585,0.19836426,0.00390625,0.047607422,0.059326172,1.2207031,1.8997192,1.914978,0.005126953,0.012451172,0.0024414062,1637140500000.0
1.335144,0.11444092,1.3961792,0.005126953,0.0026855469,0.00048828125,0.48828125,1.914978,1.2207031,0.0063476562,0.00024414062,0.0036621094,1637140500000.0
0.7171631,1.9454956,0.9460449,0.0043945312,0.04321289,0.0056152344,0.16021729,1.7929077,0.2746582,0.005859375,0.041748047,0.005126953,1637140500000.0
0.831604,0.16784668,0.06866455,0.0024414062,0.061767578,0.0017089844,0.34332275,1.3198853,0.32806396,0.008300781,0.025146484,0.0034179688,1637140500000.0
0.92315674,1.6555786,0.74768066,0.060546875,0.0126953125,0.06225586,0.76293945,1.701355,1.0147095,0.0029296875,0.0026855469,0.0014648438,1637140500000.0
1.7623901,1.4648438,0.12207031,0.060058594,0.05102539,0.061767578,0.50354004,0.1296997,0.7095337,0.052001953,0.05102539,0.05444336,1637140500000.0
1.3580322,1.8844604,1.7089844,0.06225586,0.047607422,0.0026855469,1.3427734,0.48828125,1.2588501,0.045410156,0.019042969,0.048339844,1637140500000.0
0.869751,1.9302368,1.5106201,0.0029296875,0.040527344,0.006591797,0.1296997,0.579834,0.50354004,0.040771484,0.05053711,0.04736328,1637140500000.0
0.09918213,0.09918213,0.90026855,0.0036621094,0.02734375,0.008300781,0.7247925,0.17547607,0.91552734,0.050048828,0.011474609,0.053222656,1637140500000.0
1.7318726,1.9378662,0.045776367,0.0024414062,0.026367188,0.0043945312,0.8163452,0.076293945,1.7547607,0.014404297,0.0029296875,0.004638672,1637140500000.0
1.7929077,0.061035156,0.20599365,0.059570312,0.04345703,0.00048828125,1.3885498,0.15258789,0.74005127,0.009521484,0.03173828,0.0029296875,1637140500000.0
1.411438,0.23651123,1.7089844,0.05834961,0.03491211,0.056640625,1.7852783,0.045776367,1.701355,0.0068359375,0.0390625,0.00024414062,1637140500000.0
1.8463135,0.33569336,0.9536743,0.055664062,0.016601562,0.057128906,1.876831,1.9454956,1.1138916,0.0061035156,0.057128906,0.0012207031,1637140500000.0
1.3580322,0.05340576,1.2435913,0.05444336,0.057373047,0.0546875,0.63323975,1.9454956,0.9384155,0.0041503906,0.005126953,0.0017089844,1637140500000.0
1.3656616,1.7776489,1.739502,0.05834961,0.026367188,0.052246094,0.46539307,1.8920898,0.8468628,0.0029296875,0.05102539,0.0009765625,1637140500000.0
0.34332275,1.8692017,1.0223389,0.0,0.052490234,0.056152344,0.8163452,1.9226074,0.5340576,0.0048828125,0.032226562,0.0024414062,1637140500000.0
1.7166138,0.12207031,1.9073486,0.004638672,0.017578125,0.00048828125,1.7852783,0.015258789,0.061035156,0.0056152344,0.03881836,0.0036621094,1637140500000.0
0.7095337,0.15258789,0.038146973,0.007080078,0.030517578,0.010009766,1.5716553,1.8539429,0.22888184,0.0056152344,0.025146484,0.004638672,1637140500000.0
1.625061,1.8539429,0.11444092,0.0048828125,0.023925781,0.010009766,0.11444092,1.4724731,0.44250488,0.006591797,0.016113281,0.0048828125,1637140500000.0
0.38146973,0.05340576,1.9226074,0.0012207031,0.034179688,0.0034179688,1.8157959,1.6021729,0.19073486,0.009277344,0.036621094,0.011230469,1637140500000.0
0.74005127,1.7547607,1.5716553,0.060302734,0.03173828,0.059326172,1.1520386,1.7089844,0.4272461,0.056152344,0.037109375,0.060791016,1637140500000.0
0.9536743,1.7623901,0.2746582,0.061767578,0.02709961,0.05834961,1.4648438,0.39672852,1.2969971,0.048339844,0.048583984,0.05102539,1637140500000.0
0.5569458,1.8692017,0.8087158,0.0007324219,0.048095703,0.0009765625,1.6021729,0.77819824,0.11444092,0.044921875,0.0087890625,0.05053711,1637140500000.0
1.3275146,0.05340576,1.5716553,0.0017089844,0.04736328,0.0043945312,1.373291,0.49591064,1.9378662,0.041992188,0.056396484,0.049072266,1637140500000.0
0.6866455,0.1373291,1.6708374,0.0007324219,0.029785156,0.005859375,0.8087158,0.022888184,1.1749268,0.057373047,0.041992188,0.05493164,1637140500000.0
0.2822876,0.030517578,0.22888184,0.0012207031,0.025390625,0.0043945312,1.2664795,0.4348755,0.8468628,0.011962891,0.01953125,0.0009765625,1637140500000.0
0.77056885,0.038146973,0.08392334,0.059814453,0.045654297,0.0007324219,1.3885498,0.076293945,0.37384033,0.010253906,0.0068359375,0.060791016,1637140500000.0
1.6860962,0.37384033,1.4724731,0.061035156,0.016601562,0.056396484,1.3046265,0.1449585,1.0681152,0.007080078,0.024169922,0.0009765625,1637140500000.0
1.7852783,0.36621094,1.739502,0.057373047,0.044433594,0.056396484,1.5182495,1.914978,1.6784668,0.0063476562,0.037841797,0.0017089844,1637140500000.0
0.75531006,1.9378662,0.8773804,0.060791016,0.05126953,0.048828125,1.0986328,1.914978,0.11444092,0.0036621094,0.029296875,0.0007324219,1637140500000.0
1.3885498,0.16021729,0.9765625,0.061523438,0.021972656,0.052978516,0.93078613,0.0076293945,0.45776367,0.0031738281,0.053955078,0.0012207031,1637140500000.0
0.63323975,0.022888184,0.4043579,0.0007324219,0.05102539,0.059326172,1.4343262,1.9302368,1.4038086,0.005126953,0.03149414,0.0026855469,1637140500000.0
0.5493164,1.8005371,1.4419556,0.0034179688,0.043945312,0.0017089844,1.4724731,1.8692017,0.48828125,0.0061035156,0.027832031,0.0041503906,1637140500000.0
0.88500977,0.061035156,0.8621216,0.004638672,0.02319336,0.012451172,1.1444092,1.7471313,1.5640259,0.007080078,0.014160156,0.005859375,1637140500000.0
0.61798096,0.015258789,1.0757446,0.0017089844,0.011474609,0.010253906,0.8087158,1.2130737,1.2283325,0.010498047,0.0007324219,0.0036621094,1637140500000.0
0.60272217,1.5182495,0.2975464,0.061767578,0.041259766,0.0,1.876831,1.4877319,1.1672974,0.061523438,0.020996094,0.061767578,1637140500000.0
0.9765625,1.5945435,0.11444092,0.06201172,0.048339844,0.059814453,1.7700195,0.17547607,0.12207031,0.052978516,0.017822266,0.048828125,1637140500000.0
1.3198853,1.876831,0.20599365,0.00048828125,0.040771484,0.001953125,1.3427734,0.5569458,1.1062622,0.046875,0.00390625,0.045410156,1637140500000.0
0.015258789,0.045776367,0.8087158,0.0024414062,0.033935547,0.00390625,0.8163452,0.35858154,0.32806396,0.041015625,0.012207031,0.048095703,1637140500000.0
0.2670288,0.16021729,1.5258789,0.0017089844,0.061035156,0.004638672,0.06866455,1.6708374,0.75531006,0.05444336,0.0087890625,0.05493164,1637140500000.0
1.7700195,0.16784668,1.9454956,0.0017089844,0.025146484,0.0026855469,0.06866455,1.6708374,0.75531006,0.05444336,0.0087890625,0.05493164,1637140500000.0
1.121521,0.022888184,0.831604,0.05834961,0.038330078,0.061035156,0.7095337,0.5493164,1.449585,0.010009766,0.04638672,0.0061035156,1637140500000.0
1.4343262,0.09918213,0.74768066,0.057861328,0.020507812,0.05078125,1.2054443,0.076293945,1.5945435,0.0048828125,0.055664062,0.0021972656,1637140500000.0
0.61035156,1.7929077,1.1901855,0.053466797,0.034423828,0.04736328,1.411438,1.8997192,1.5869141,0.0024414062,0.009033203,0.0009765625,1637140500000.0
1.6403198,1.7547607,1.2969971,0.05908203,0.031982422,0.049316406,0.77056885,1.8997192,0.9613037,0.0012207031,0.041992188,0.00024414062,1637140500000.0
1.1825562,0.038146973,1.4572144,0.060302734,0.045898438,0.0009765625,1.3275146,1.8997192,0.64086914,0.0012207031,0.041748047,0.00048828125,1637140500000.0
1.0604858,1.8386841,1.876831,0.0017089844,0.00390625,0.013427734,1.5869141,1.8997192,0.5645752,0.0014648438,0.052734375,0.0014648438,1637140500000.0
1.4419556,1.8310547,1.9226074,0.0041503906,0.055908203,0.017578125,1.5487671,1.8539429,0.77819824,0.0014648438,0.05810547,0.0029296875,1637140500000.0
1.7242432,1.3427734,1.4038086,0.0009765625,0.0056152344,0.01928711,1.5258789,1.6403198,1.1138916,0.0036621094,0.011230469,0.0029296875,1637140500000.0
0.5187988,1.449585,0.10681152,0.00048828125,0.0068359375,0.010009766,1.7700195,1.2130737,0.32806396,0.0056152344,0.056640625,0.0017089844,1637140500000.0
0.92315674,1.3198853,1.9378662,0.061279297,0.047851562,0.0012207031,0.0,0.9765625,0.32806396,0.0034179688,0.009521484,0.056396484,1637140500000.0
0.64849854,1.3046265,1.1291504,0.00048828125,0.01586914,0.061035156,0.6637573,1.3198853,1.0681152,0.06225586,0.05908203,0.049804688,1637140500000.0
1.1367798,1.5640259,0.5187988,0.0012207031,0.051513672,0.0034179688,0.48065186,1.6937256,0.6790161,0.056396484,0.053222656,0.055419922,1637140500000.0
0.8621216,1.7242432,0.37384033,0.0017089844,0.0234375,0.0061035156,0.030517578,1.5106201,0.8239746,0.052001953,0.046142578,0.05908203,1637140500000.0
0.8010864,1.4648438,1.8692017,0.0009765625,0.026123047,0.006591797,0.32043457,1.2283325,0.36621094,0.053466797,0.0390625,0.05908203,1637140500000.0
1.2817383,1.663208,0.90789795,0.0017089844,0.0041503906,0.0056152344,0.0,0.9765625,0.9689331,0.055908203,0.0390625,0.061035156,1637140500000.0
1.045227,1.8081665,1.8005371,0.001953125,0.057128906,0.0031738281,0.88500977,1.701355,0.16021729,0.061767578,0.05834961,0.061279297,1637140500000.0
1.8310547,1.7318726,0.35095215,0.061767578,0.036865234,0.060302734,0.7247925,0.15258789,0.75531006,0.0034179688,0.041503906,0.0034179688,1637140500000.0
0.62561035,1.8081665,0.5569458,0.061279297,0.049316406,0.055908203,0.8010864,0.05340576,0.91552734,0.00390625,0.036132812,0.0007324219,1637140500000.0
